"RF","tree_id","dataset"
4,1,"independent"
2,2,"independent"
2,3,"independent"
6,4,"independent"
2,5,"independent"
0,6,"independent"
4,7,"independent"
0,8,"independent"
2,9,"independent"
4,10,"independent"
4,11,"independent"
2,12,"independent"
4,13,"independent"
2,14,"independent"
4,15,"independent"
4,16,"independent"
4,17,"independent"
2,18,"independent"
4,19,"independent"
6,20,"independent"
4,21,"independent"
6,22,"independent"
4,23,"independent"
2,24,"independent"
6,25,"independent"
6,26,"independent"
0,27,"independent"
6,28,"independent"
4,29,"independent"
2,30,"independent"
4,31,"independent"
4,32,"independent"
2,33,"independent"
8,34,"independent"
2,35,"independent"
2,36,"independent"
4,37,"independent"
4,38,"independent"
4,39,"independent"
2,40,"independent"
4,41,"independent"
0,42,"independent"
2,43,"independent"
2,44,"independent"
4,45,"independent"
2,46,"independent"
4,47,"independent"
2,48,"independent"
4,49,"independent"
4,50,"independent"
6,51,"independent"
2,52,"independent"
4,53,"independent"
6,54,"independent"
4,55,"independent"
4,56,"independent"
4,57,"independent"
4,58,"independent"
2,59,"independent"
4,60,"independent"
4,61,"independent"
4,62,"independent"
6,63,"independent"
6,64,"independent"
2,65,"independent"
6,66,"independent"
4,67,"independent"
2,68,"independent"
4,69,"independent"
4,70,"independent"
4,71,"independent"
4,72,"independent"
4,73,"independent"
2,74,"independent"
4,75,"independent"
4,76,"independent"
4,77,"independent"
4,78,"independent"
2,79,"independent"
2,80,"independent"
4,81,"independent"
6,82,"independent"
6,83,"independent"
6,84,"independent"
2,85,"independent"
2,86,"independent"
2,87,"independent"
4,88,"independent"
4,89,"independent"
6,90,"independent"
4,91,"independent"
4,92,"independent"
6,93,"independent"
4,94,"independent"
4,95,"independent"
4,96,"independent"
2,97,"independent"
6,98,"independent"
2,99,"independent"
2,100,"independent"
4,101,"independent"
4,102,"independent"
2,103,"independent"
4,104,"independent"
4,105,"independent"
4,106,"independent"
6,107,"independent"
4,108,"independent"
6,109,"independent"
2,110,"independent"
6,111,"independent"
4,112,"independent"
6,113,"independent"
6,114,"independent"
6,115,"independent"
4,116,"independent"
4,117,"independent"
4,118,"independent"
2,119,"independent"
4,120,"independent"
0,121,"independent"
4,122,"independent"
4,123,"independent"
6,124,"independent"
6,125,"independent"
2,126,"independent"
4,127,"independent"
6,128,"independent"
4,129,"independent"
6,130,"independent"
4,131,"independent"
2,132,"independent"
4,133,"independent"
6,134,"independent"
4,135,"independent"
4,136,"independent"
4,137,"independent"
6,138,"independent"
4,139,"independent"
4,140,"independent"
