# BEAST v10.5.0
# Generated Thu Apr 23 10:07:10 BST 2026 [seed=1776935229123]
# run_sites1000_seed1.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-13924.516335823368	-1621.2482782590566	-12303.268057564312	212.17108272351481	819.655535764178	2.0	1.0	1.0	-12303.268057564312	0.0	-1619.2098032921176
1000	-10032.502882964676	-124.70210200433739	-9907.800780960339	198.6950923771467	720.1126576057825	0.03432668241396565	1.0	1.0	-9907.800780960339	0.0	-122.50221561414897
2000	-9384.554749492714	-123.3893401890201	-9261.165409303694	192.61137606345198	698.0177227632919	0.04678177747446924	1.0	1.0	-9261.165409303694	0.0	-121.46009392005503
3000	-8497.743723970905	-122.94907556227798	-8374.794648408628	197.36387309509746	688.8223041283732	0.046581313418463596	1.0	1.0	-8374.794648408628	0.0	-121.01636635664076
4000	-7611.688241595151	-122.52208176826784	-7489.166159826884	189.87192854845915	657.4710521528204	0.034466295409095196	1.0	1.0	-7489.166159826884	0.0	-120.32601944320356
5000	-7239.300117897166	-122.04005798447636	-7117.26005991269	202.13526754163183	669.9827084923118	0.04445138096550866	1.0	1.0	-7117.26005991269	0.0	-120.06907485576137
6000	-6796.627812277586	-122.29607280096845	-6674.331739476617	207.78870009547973	667.2335210524768	0.03800013795139215	1.0	1.0	-6674.331739476617	0.0	-120.1897650257011
7000	-6453.813271825516	-120.77190317391418	-6333.041368651601	199.026045801173	640.0243413328174	0.042962484877990065	1.0	1.0	-6333.041368651601	0.0	-118.77244776090456
8000	-6259.867052814499	-119.55072556644076	-6140.316327248059	184.4920588448588	607.810405658715	0.05756504537995179	1.0	1.0	-6140.316327248059	0.0	-117.77898623356192
9000	-6050.053668313897	-118.77195360821183	-5931.281714705685	183.81168412766166	600.3979570592262	0.04975894675581364	1.0	1.0	-5931.281714705685	0.0	-116.8915548980934
10000	-5892.035833485394	-118.92870864589682	-5773.1071248394965	184.46750920298106	585.0842071023507	0.06454534388907937	1.0	1.0	-5773.1071248394965	0.0	-117.23569293958421
11000	-5729.991670283835	-118.8877608094394	-5611.1039094743965	188.6060392814059	602.1135074935954	0.04725439208935759	1.0	1.0	-5611.1039094743965	0.0	-116.96658834301792
12000	-5655.815152276274	-120.52231037729358	-5535.29284189898	192.36799501206394	612.155125019002	0.03634244454400766	1.0	1.0	-5535.29284189898	0.0	-118.3755132214923
13000	-5496.719167931858	-120.57091866733927	-5376.148249264518	204.10820901170405	637.7699304443173	0.04661894746389696	1.0	1.0	-5376.148249264518	0.0	-118.63886133542677
14000	-5294.774423364167	-120.49721310711546	-5174.277210257052	203.9737918984474	635.5340266956579	0.04480349204119864	1.0	1.0	-5174.277210257052	0.0	-118.53275036924163
15000	-5268.644770713792	-121.04161250108334	-5147.603158212709	207.58106767185296	647.2758838286629	0.04404571337866855	1.0	1.0	-5147.603158212709	0.0	-119.06301813101717
16000	-5190.891409083623	-122.14969039967613	-5068.7417186839475	203.77013145388528	645.9337317296081	0.060407190961854006	1.0	1.0	-5068.7417186839475	0.0	-120.41180891986816
17000	-5172.008247324981	-120.95219906051342	-5051.056048264468	205.51280185255197	645.7108916667376	0.047508907995257525	1.0	1.0	-5051.056048264468	0.0	-119.03532275841147
18000	-4965.557348507399	-120.56261477052028	-4844.9947337368785	205.6761675525271	637.4752570459499	0.047658352193711145	1.0	1.0	-4844.9947337368785	0.0	-118.64824439618982
19000	-4904.222527605236	-119.89143254701206	-4784.331095058224	201.2492065782096	623.3303592197555	0.04848608288814899	1.0	1.0	-4784.331095058224	0.0	-117.99072318015482
20000	-4889.523033151231	-118.73265682605027	-4770.790376325181	198.02905185014907	598.0693368041427	0.04632957402352644	1.0	1.0	-4770.790376325181	0.0	-116.79556605649942
21000	-4891.7121196028	-119.72576131990915	-4771.986358282891	200.65369572883594	601.8834212720456	0.03848383899369754	1.0	1.0	-4771.986358282891	0.0	-117.63077455137002
