# BEAST v10.5.0
# Generated Wed Apr 22 16:43:40 BST 2026 [seed=1776872618637]
# run_sites1000_seed4.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-10830.706075474016	-1328.510242761283	-9502.195832712732	155.41448696302692	673.286518015291	2.0	1.0	1.0	-9502.195832712732	0.0	-1326.471767794344
1000	-7444.901479938955	-119.41203950469767	-7325.489440434258	147.37771431683063	612.7848704587143	0.04640873713834554	1.0	1.0	-7325.489440434258	0.0	-117.47633055081809
2000	-6954.999027559709	-119.56541276963425	-6835.433614790075	151.58239783643188	616.4417141430943	0.049457966855404954	1.0	1.0	-6835.433614790075	0.0	-117.68028547918695
3000	-6525.930277290932	-119.96670545392134	-6405.963571837011	150.07434167549386	621.6179039474432	0.04316441954326474	1.0	1.0	-6405.963571837011	0.0	-117.97119960016728
4000	-6196.548702250867	-121.88160388773612	-6074.667098363131	153.8823768206775	641.7749753499658	0.03491601078137341	1.0	1.0	-6074.667098363131	0.0	-119.69770596506935
5000	-6091.473436269305	-121.02679977399052	-5970.446636495315	152.40055730563304	646.3703494231966	0.049003339863948864	1.0	1.0	-5970.446636495315	0.0	-119.13444376922605
6000	-5883.694287711329	-121.68454806011259	-5762.0097396512165	149.07653311666127	661.2969990987026	0.04300128887646644	1.0	1.0	-5762.0097396512165	0.0	-119.6858537975113
7000	-5802.742650734989	-121.02336859022078	-5681.719282144769	148.21812225988324	643.0370509559315	0.0411407263346949	1.0	1.0	-5681.719282144769	0.0	-118.9869567882937
8000	-5472.894649358815	-121.1750505186043	-5351.71959884021	150.84647974199927	648.2039197221973	0.05022166307018553	1.0	1.0	-5351.71959884021	0.0	-119.30183435014612
9000	-5347.726372656248	-122.70157615657064	-5225.024796499677	156.19768857953204	681.4229483199092	0.04838760451643257	1.0	1.0	-5225.024796499677	0.0	-120.79926062140571
10000	-5337.17413239361	-121.99560981844306	-5215.178522575167	156.44956417755085	668.7465701604311	0.045795653063896005	1.0	1.0	-5215.178522575167	0.0	-120.0491029201526
