"RF","tree_id","dataset"
46,1,"independent"
48,2,"independent"
46,3,"independent"
48,4,"independent"
46,5,"independent"
46,6,"independent"
46,7,"independent"
46,8,"independent"
44,9,"independent"
46,10,"independent"
46,11,"independent"
48,12,"independent"
48,13,"independent"
46,14,"independent"
44,15,"independent"
48,16,"independent"
48,17,"independent"
48,18,"independent"
50,19,"independent"
48,20,"independent"
46,21,"independent"
46,22,"independent"
46,23,"independent"
46,24,"independent"
46,25,"independent"
48,26,"independent"
48,27,"independent"
48,28,"independent"
48,29,"independent"
50,30,"independent"
46,31,"independent"
50,32,"independent"
48,33,"independent"
46,34,"independent"
48,35,"independent"
50,36,"independent"
50,37,"independent"
44,38,"independent"
46,39,"independent"
46,40,"independent"
46,41,"independent"
48,42,"independent"
48,43,"independent"
50,44,"independent"
46,45,"independent"
44,46,"independent"
48,47,"independent"
44,48,"independent"
44,49,"independent"
46,50,"independent"
46,51,"independent"
48,52,"independent"
48,53,"independent"
46,54,"independent"
46,55,"independent"
44,56,"independent"
44,57,"independent"
46,58,"independent"
50,59,"independent"
48,60,"independent"
46,61,"independent"
44,62,"independent"
50,63,"independent"
48,64,"independent"
48,65,"independent"
48,66,"independent"
48,67,"independent"
46,68,"independent"
46,69,"independent"
48,70,"independent"
48,71,"independent"
48,72,"independent"
44,73,"independent"
46,74,"independent"
44,75,"independent"
46,76,"independent"
50,77,"independent"
50,78,"independent"
48,79,"independent"
48,80,"independent"
48,81,"independent"
48,82,"independent"
44,83,"independent"
44,84,"independent"
48,85,"independent"
48,86,"independent"
46,87,"independent"
50,88,"independent"
48,89,"independent"
48,90,"independent"
46,91,"independent"
48,92,"independent"
46,93,"independent"
48,94,"independent"
46,95,"independent"
48,96,"independent"
46,97,"independent"
44,98,"independent"
48,99,"independent"
48,100,"independent"
48,101,"independent"
46,102,"independent"
46,103,"independent"
46,104,"independent"
44,105,"independent"
44,106,"independent"
48,107,"independent"
46,108,"independent"
46,109,"independent"
46,110,"independent"
46,111,"independent"
46,112,"independent"
46,113,"independent"
44,114,"independent"
48,115,"independent"
46,116,"independent"
46,117,"independent"
50,118,"independent"
44,119,"independent"
44,120,"independent"
48,121,"independent"
48,122,"independent"
44,123,"independent"
48,124,"independent"
48,125,"independent"
48,126,"independent"
46,127,"independent"
50,128,"independent"
48,129,"independent"
48,130,"independent"
50,131,"independent"
50,132,"independent"
46,133,"independent"
46,134,"independent"
44,135,"independent"
48,136,"independent"
46,137,"independent"
46,138,"independent"
48,139,"independent"
48,140,"independent"
46,141,"independent"
46,142,"independent"
50,143,"independent"
46,144,"independent"
46,145,"independent"
44,146,"independent"
44,147,"independent"
46,148,"independent"
46,149,"independent"
48,150,"independent"
48,151,"independent"
46,152,"independent"
46,153,"independent"
46,154,"independent"
46,155,"independent"
46,156,"independent"
48,157,"independent"
46,158,"independent"
46,159,"independent"
46,160,"independent"
48,161,"independent"
48,162,"independent"
48,163,"independent"
46,164,"independent"
46,165,"independent"
48,166,"independent"
44,167,"independent"
46,168,"independent"
46,169,"independent"
46,170,"independent"
46,171,"independent"
48,172,"independent"
48,173,"independent"
50,174,"independent"
46,175,"independent"
46,176,"independent"
46,177,"independent"
46,178,"independent"
48,179,"independent"
46,180,"independent"
48,181,"independent"
46,182,"independent"
48,183,"independent"
48,184,"independent"
44,185,"independent"
48,186,"independent"
50,187,"independent"
50,188,"independent"
48,189,"independent"
48,190,"independent"
46,191,"independent"
48,192,"independent"
48,193,"independent"
44,194,"independent"
48,195,"independent"
44,196,"independent"
44,197,"independent"
48,198,"independent"
50,199,"independent"
48,200,"independent"
44,201,"independent"
46,202,"independent"
46,203,"independent"
48,204,"independent"
44,205,"independent"
44,206,"independent"
44,207,"independent"
48,208,"independent"
48,209,"independent"
44,210,"independent"
48,211,"independent"
46,212,"independent"
44,213,"independent"
46,214,"independent"
48,215,"independent"
44,216,"independent"
48,217,"independent"
46,218,"independent"
46,219,"independent"
44,220,"independent"
48,221,"independent"
48,222,"independent"
48,223,"independent"
48,224,"independent"
44,225,"independent"
46,226,"independent"
50,227,"independent"
48,228,"independent"
50,229,"independent"
48,230,"independent"
48,231,"independent"
48,232,"independent"
44,233,"independent"
50,234,"independent"
48,235,"independent"
48,236,"independent"
46,237,"independent"
46,238,"independent"
46,239,"independent"
48,240,"independent"
48,241,"independent"
46,242,"independent"
48,243,"independent"
48,244,"independent"
46,245,"independent"
46,246,"independent"
46,247,"independent"
48,248,"independent"
46,249,"independent"
46,250,"independent"
44,251,"independent"
48,252,"independent"
46,253,"independent"
48,254,"independent"
44,255,"independent"
46,256,"independent"
48,257,"independent"
46,258,"independent"
48,259,"independent"
48,260,"independent"
46,261,"independent"
46,262,"independent"
46,263,"independent"
44,264,"independent"
46,265,"independent"
46,266,"independent"
44,267,"independent"
48,268,"independent"
48,269,"independent"
46,270,"independent"
46,271,"independent"
48,272,"independent"
48,273,"independent"
48,274,"independent"
48,275,"independent"
46,276,"independent"
44,277,"independent"
46,278,"independent"
46,279,"independent"
46,280,"independent"
48,281,"independent"
44,282,"independent"
46,283,"independent"
46,284,"independent"
46,285,"independent"
46,286,"independent"
46,287,"independent"
50,288,"independent"
48,289,"independent"
46,290,"independent"
48,291,"independent"
44,292,"independent"
44,293,"independent"
44,294,"independent"
44,295,"independent"
46,296,"independent"
46,297,"independent"
48,298,"independent"
46,299,"independent"
46,300,"independent"
48,301,"independent"
46,302,"independent"
46,303,"independent"
46,304,"independent"
46,305,"independent"
48,306,"independent"
46,307,"independent"
48,308,"independent"
48,309,"independent"
48,310,"independent"
44,311,"independent"
46,312,"independent"
46,313,"independent"
48,314,"independent"
46,315,"independent"
48,316,"independent"
46,317,"independent"
46,318,"independent"
48,319,"independent"
48,320,"independent"
46,321,"independent"
46,322,"independent"
44,323,"independent"
44,324,"independent"
48,325,"independent"
48,326,"independent"
46,327,"independent"
