"RF","tree_id","dataset"
36,1,"independent"
32,2,"independent"
36,3,"independent"
38,4,"independent"
36,5,"independent"
34,6,"independent"
36,7,"independent"
38,8,"independent"
40,9,"independent"
40,10,"independent"
40,11,"independent"
40,12,"independent"
34,13,"independent"
40,14,"independent"
34,15,"independent"
40,16,"independent"
42,17,"independent"
42,18,"independent"
30,19,"independent"
32,20,"independent"
42,21,"independent"
36,22,"independent"
36,23,"independent"
42,24,"independent"
36,25,"independent"
40,26,"independent"
36,27,"independent"
40,28,"independent"
38,29,"independent"
38,30,"independent"
40,31,"independent"
36,32,"independent"
38,33,"independent"
36,34,"independent"
36,35,"independent"
38,36,"independent"
40,37,"independent"
40,38,"independent"
42,39,"independent"
38,40,"independent"
38,41,"independent"
44,42,"independent"
36,43,"independent"
38,44,"independent"
42,45,"independent"
40,46,"independent"
38,47,"independent"
38,48,"independent"
34,49,"independent"
38,50,"independent"
40,51,"independent"
38,52,"independent"
40,53,"independent"
36,54,"independent"
38,55,"independent"
36,56,"independent"
40,57,"independent"
42,58,"independent"
40,59,"independent"
38,60,"independent"
40,61,"independent"
36,62,"independent"
40,63,"independent"
36,64,"independent"
36,65,"independent"
36,66,"independent"
44,67,"independent"
36,68,"independent"
36,69,"independent"
40,70,"independent"
40,71,"independent"
36,72,"independent"
40,73,"independent"
36,74,"independent"
40,75,"independent"
40,76,"independent"
34,77,"independent"
38,78,"independent"
38,79,"independent"
38,80,"independent"
36,81,"independent"
40,82,"independent"
32,83,"independent"
38,84,"independent"
38,85,"independent"
34,86,"independent"
32,87,"independent"
34,88,"independent"
42,89,"independent"
40,90,"independent"
34,91,"independent"
44,92,"independent"
40,93,"independent"
36,94,"independent"
38,95,"independent"
34,96,"independent"
38,97,"independent"
34,98,"independent"
36,99,"independent"
38,100,"independent"
40,101,"independent"
42,102,"independent"
34,103,"independent"
42,104,"independent"
38,105,"independent"
38,106,"independent"
38,107,"independent"
38,108,"independent"
38,109,"independent"
34,110,"independent"
38,111,"independent"
38,112,"independent"
36,113,"independent"
38,114,"independent"
38,115,"independent"
40,116,"independent"
36,117,"independent"
38,118,"independent"
38,119,"independent"
40,120,"independent"
42,121,"independent"
34,122,"independent"
40,123,"independent"
38,124,"independent"
38,125,"independent"
40,126,"independent"
40,127,"independent"
40,128,"independent"
34,129,"independent"
44,130,"independent"
34,131,"independent"
42,132,"independent"
42,133,"independent"
40,134,"independent"
36,135,"independent"
36,136,"independent"
38,137,"independent"
34,138,"independent"
38,139,"independent"
40,140,"independent"
42,141,"independent"
34,142,"independent"
38,143,"independent"
42,144,"independent"
40,145,"independent"
40,146,"independent"
38,147,"independent"
34,148,"independent"
36,149,"independent"
36,150,"independent"
36,151,"independent"
38,152,"independent"
36,153,"independent"
38,154,"independent"
36,155,"independent"
36,156,"independent"
38,157,"independent"
36,158,"independent"
36,159,"independent"
36,160,"independent"
38,161,"independent"
32,162,"independent"
38,163,"independent"
40,164,"independent"
40,165,"independent"
42,166,"independent"
34,167,"independent"
40,168,"independent"
32,169,"independent"
38,170,"independent"
36,171,"independent"
38,172,"independent"
38,173,"independent"
38,174,"independent"
36,175,"independent"
38,176,"independent"
38,177,"independent"
36,178,"independent"
42,179,"independent"
34,180,"independent"
34,181,"independent"
38,182,"independent"
34,183,"independent"
38,184,"independent"
42,185,"independent"
36,186,"independent"
38,187,"independent"
38,188,"independent"
40,189,"independent"
32,190,"independent"
38,191,"independent"
32,192,"independent"
