meanRF,meanNRF,HighSupportCladesProp,RFConsensus,NRFConsensus,CladeRecoveryConsensus,RFMCC,NRFMCC,CladeRecoveryMCC,likelihoodESS,priorESS,jointESS,tier,ZIP,leaves,independent_sites
12.0382179757805,0.859872712555748,0.111111111111111,6,0.428571428571429,0.2,12,0.857142857142857,0.2,7779.92789954354,7130.30139519318,6624.76476681427,1,independent,10,10
13.3105210532163,0.950751503801165,0.111111111111111,8,0.571428571428571,0.1,12,0.857142857142857,0.2,8538.7575049946,6272.01905851182,6462.08748591035,2,"ZIP(0.2, 3.75)",10,10
13.1509832240862,0.939355944577587,0.111111111111111,7,0.5,0.1,10,0.714285714285714,0.4,5744.61178201938,1191.69989356105,1204.85998514761,3,"ZIP(0.2, 3.75)",10,10
7.89534496167093,0.563953211547923,0.333333333333333,8,0.571428571428571,0.3,8,0.571428571428571,0.4,6871.69992570906,8359.11006353595,8496.1696005918,4,"ZIP(0.2, 3.75)",10,10
11.9277858015776,0.851984700112686,0.111111111111111,6,0.428571428571429,0.2,12,0.857142857142857,0.2,6830.39132111098,4533.23587026981,4811.09025969472,2,"ZIP(0.5, 6.0)",10,10
12.1599822241973,0.868570158871237,0.111111111111111,8,0.571428571428571,0.1,8,0.571428571428571,0.5,2731.62522169437,1368.98595583018,1406.94314086646,3,"ZIP(0.5, 6.0)",10,10
8.41173202977447,0.600838002126748,0.222222222222222,5,0.357142857142857,0.3,8,0.571428571428571,0.5,9819.91144385693,8112.14494500324,7991.10354547886,4,"ZIP(0.5, 6.0)",10,10
13.3818464615043,0.955846175821734,0.111111111111111,7,0.5,0.1,10,0.714285714285714,0.3,7865.43940997221,8081.95820225813,7805.2511617935,2,"ZIP(0.7, 10.0)",10,10
11.4456171536496,0.817544082403542,0.111111111111111,5,0.357142857142857,0.3,10,0.714285714285714,0.3,7007.39838506308,5351.67312194301,5343.84931916355,3,"ZIP(0.7, 10.0)",10,10
7.63359626708144,0.545256876220103,0.222222222222222,6,0.428571428571429,0.2,2,0.142857142857143,0.8,9000.99999999997,9122.76998999903,8921.5080020953,4,"ZIP(0.7, 10.0)",10,10
4.4848350183313,0.320345358452235,0.444444444444444,2,0.142857142857143,0.7,2,0.142857142857143,0.8,9001.00000000002,9001.00000000001,9938.49063263298,2,"ZIP(0.9, 30.0)",10,10
13.4467281413176,0.960480581522688,0.111111111111111,7,0.5,0.1,12,0.857142857142857,0.2,8450.31899366746,5990.7883754579,6074.20114598595,3,"ZIP(0.9, 30.0)",10,10
8.84990556604822,0.632136111860587,0.111111111111111,5,0.357142857142857,0.3,4,0.285714285714286,0.7,4852.55898019874,2126.7988865333,2626.38276643711,4,"ZIP(0.9, 30.0)",10,10
3.22630818797911,0.230450584855651,0.555555555555556,0,0.0,0.9,0,0.0,0.9,9001.0,9000.99999999999,9001.0,1,independent,10,50
3.92800799911121,0.280571999936515,0.444444444444444,1,0.0714285714285714,0.8,0,0.0,0.9,9000.99999999999,8219.40480986571,8436.58380478157,2,"ZIP(0.2, 3.75)",10,50
3.76824797244751,0.269160569460536,0.666666666666667,3,0.214285714285714,0.7,4,0.285714285714286,0.7,9001.00000000003,9001.0,9001.00000000001,3,"ZIP(0.2, 3.75)",10,50
5.04121764248417,0.360086974463155,0.666666666666667,5,0.357142857142857,0.6,6,0.428571428571429,0.6,8264.56704505014,9001.0,8304.16781629556,4,"ZIP(0.2, 3.75)",10,50
1.61426508165759,0.115304648689828,0.777777777777778,0,0.0,0.9,0,0.0,0.9,9000.99999999997,8526.34874583669,8625.32423060618,2,"ZIP(0.5, 6.0)",10,50
2.36707032551939,0.169076451822813,0.777777777777778,1,0.0714285714285714,0.8,2,0.142857142857143,0.8,9001.00000000003,9001.0,9001.00000000003,3,"ZIP(0.5, 6.0)",10,50
2.01066548161315,0.143618962972368,0.666666666666667,1,0.0714285714285714,0.8,0,0.0,0.9,8226.82841241765,9000.99999999999,8324.87471427894,4,"ZIP(0.5, 6.0)",10,50
7.92823019664482,0.566302156903201,0.444444444444444,5,0.357142857142857,0.4,8,0.571428571428571,0.5,9000.99999999998,9000.99999999999,9000.99999999996,2,"ZIP(0.7, 10.0)",10,50
2.59415620486613,0.185296871776152,0.666666666666667,2,0.142857142857143,0.8,2,0.142857142857143,0.8,9001.00000000003,9000.99999999997,9001.0,3,"ZIP(0.7, 10.0)",10,50
0.977224752805244,0.0698017680575174,0.888888888888889,0,0.0,0.9,0,0.0,0.9,8325.17611499622,9000.99999999997,8096.44931087796,4,"ZIP(0.7, 10.0)",10,50
4.32129763359627,0.308664116685448,0.555555555555556,4,0.285714285714286,0.5,2,0.142857142857143,0.7,8574.98515761334,9000.99999999997,8602.59183174183,2,"ZIP(0.9, 30.0)",10,50
6.29996667036996,0.44999761931214,0.555555555555556,5,0.357142857142857,0.6,6,0.428571428571429,0.6,8237.55103899136,9030.4300698268,8266.97981724957,3,"ZIP(0.9, 30.0)",10,50
5.37006999222309,0.383576428015935,0.857142857142857,5,0.357142857142857,0.6,6,0.428571428571429,0.6,7558.95267596252,6905.30961959537,7431.34885497621,4,"ZIP(0.9, 30.0)",10,50
6.86257082546384,0.490183630390274,0.444444444444444,5,0.357142857142857,0.5,6,0.428571428571429,0.6,9000.99999999997,8446.91307841328,8707.08440461829,1,independent,10,100
4.5723808465726,0.326598631898043,0.444444444444444,2,0.142857142857143,0.7,4,0.285714285714286,0.7,8722.78598772954,9001.00000000002,8717.05325731038,2,"ZIP(0.2, 3.75)",10,100
3.65426063770692,0.261018616979066,0.777777777777778,3,0.214285714285714,0.7,2,0.142857142857143,0.8,8147.74688192387,9001.00000000002,8621.12002678588,3,"ZIP(0.2, 3.75)",10,100
