"RF","tree_id","dataset"
18,1,"independent"
24,2,"independent"
28,3,"independent"
24,4,"independent"
18,5,"independent"
12,6,"independent"
18,7,"independent"
16,8,"independent"
20,9,"independent"
22,10,"independent"
16,11,"independent"
18,12,"independent"
20,13,"independent"
20,14,"independent"
18,15,"independent"
18,16,"independent"
24,17,"independent"
20,18,"independent"
22,19,"independent"
18,20,"independent"
24,21,"independent"
16,22,"independent"
18,23,"independent"
22,24,"independent"
22,25,"independent"
22,26,"independent"
24,27,"independent"
26,28,"independent"
24,29,"independent"
12,30,"independent"
22,31,"independent"
32,32,"independent"
22,33,"independent"
18,34,"independent"
18,35,"independent"
20,36,"independent"
24,37,"independent"
22,38,"independent"
20,39,"independent"
20,40,"independent"
26,41,"independent"
26,42,"independent"
24,43,"independent"
26,44,"independent"
20,45,"independent"
18,46,"independent"
24,47,"independent"
18,48,"independent"
22,49,"independent"
22,50,"independent"
16,51,"independent"
20,52,"independent"
22,53,"independent"
26,54,"independent"
24,55,"independent"
22,56,"independent"
22,57,"independent"
18,58,"independent"
20,59,"independent"
22,60,"independent"
22,61,"independent"
18,62,"independent"
22,63,"independent"
22,64,"independent"
22,65,"independent"
22,66,"independent"
22,67,"independent"
20,68,"independent"
20,69,"independent"
22,70,"independent"
20,71,"independent"
22,72,"independent"
26,73,"independent"
20,74,"independent"
28,75,"independent"
20,76,"independent"
30,77,"independent"
22,78,"independent"
20,79,"independent"
18,80,"independent"
22,81,"independent"
24,82,"independent"
16,83,"independent"
18,84,"independent"
26,85,"independent"
18,86,"independent"
20,87,"independent"
22,88,"independent"
18,89,"independent"
16,90,"independent"
20,91,"independent"
24,92,"independent"
24,93,"independent"
20,94,"independent"
20,95,"independent"
24,96,"independent"
20,97,"independent"
18,98,"independent"
22,99,"independent"
18,100,"independent"
18,101,"independent"
20,102,"independent"
24,103,"independent"
22,104,"independent"
18,105,"independent"
20,106,"independent"
18,107,"independent"
20,108,"independent"
22,109,"independent"
20,110,"independent"
18,111,"independent"
26,112,"independent"
24,113,"independent"
22,114,"independent"
18,115,"independent"
24,116,"independent"
24,117,"independent"
20,118,"independent"
28,119,"independent"
24,120,"independent"
22,121,"independent"
22,122,"independent"
20,123,"independent"
26,124,"independent"
20,125,"independent"
22,126,"independent"
20,127,"independent"
24,128,"independent"
22,129,"independent"
20,130,"independent"
20,131,"independent"
22,132,"independent"
16,133,"independent"
18,134,"independent"
20,135,"independent"
18,136,"independent"
18,137,"independent"
22,138,"independent"
22,139,"independent"
16,140,"independent"
22,141,"independent"
22,142,"independent"
24,143,"independent"
20,144,"independent"
20,145,"independent"
20,146,"independent"
20,147,"independent"
20,148,"independent"
18,149,"independent"
26,150,"independent"
24,151,"independent"
18,152,"independent"
24,153,"independent"
20,154,"independent"
26,155,"independent"
22,156,"independent"
22,157,"independent"
22,158,"independent"
26,159,"independent"
30,160,"independent"
16,161,"independent"
22,162,"independent"
16,163,"independent"
28,164,"independent"
22,165,"independent"
20,166,"independent"
26,167,"independent"
20,168,"independent"
20,169,"independent"
24,170,"independent"
24,171,"independent"
24,172,"independent"
22,173,"independent"
24,174,"independent"
16,175,"independent"
22,176,"independent"
20,177,"independent"
22,178,"independent"
22,179,"independent"
28,180,"independent"
22,181,"independent"
18,182,"independent"
18,183,"independent"
24,184,"independent"
22,185,"independent"
26,186,"independent"
26,187,"independent"
24,188,"independent"
26,189,"independent"
22,190,"independent"
24,191,"independent"
20,192,"independent"
26,193,"independent"
28,194,"independent"
22,195,"independent"
20,196,"independent"
24,197,"independent"
28,198,"independent"
26,199,"independent"
16,200,"independent"
18,201,"independent"
20,202,"independent"
24,203,"independent"
24,204,"independent"
20,205,"independent"
24,206,"independent"
20,207,"independent"
22,208,"independent"
22,209,"independent"
22,210,"independent"
22,211,"independent"
20,212,"independent"
16,213,"independent"
16,214,"independent"
30,215,"independent"
20,216,"independent"
16,217,"independent"
18,218,"independent"
20,219,"independent"
20,220,"independent"
20,221,"independent"
24,222,"independent"
22,223,"independent"
26,224,"independent"
24,225,"independent"
22,226,"independent"
22,227,"independent"
20,228,"independent"
14,229,"independent"
20,230,"independent"
22,231,"independent"
20,232,"independent"
20,233,"independent"
22,234,"independent"
26,235,"independent"
16,236,"independent"
16,237,"independent"
20,238,"independent"
26,239,"independent"
28,240,"independent"
22,241,"independent"
26,242,"independent"
24,243,"independent"
24,244,"independent"
24,245,"independent"
22,246,"independent"
22,247,"independent"
22,248,"independent"
18,249,"independent"
12,250,"independent"
16,251,"independent"
18,252,"independent"
26,253,"independent"
26,254,"independent"
24,255,"independent"
24,256,"independent"
26,257,"independent"
24,258,"independent"
18,259,"independent"
18,260,"independent"
18,261,"independent"
22,262,"independent"
20,263,"independent"
26,264,"independent"
18,265,"independent"
18,266,"independent"
24,267,"independent"
24,268,"independent"
18,269,"independent"
24,270,"independent"
20,271,"independent"
18,272,"independent"
24,273,"independent"
18,274,"independent"
20,275,"independent"
22,276,"independent"
18,277,"independent"
24,278,"independent"
24,279,"independent"
26,280,"independent"
20,281,"independent"
24,282,"independent"
20,283,"independent"
26,284,"independent"
22,285,"independent"
24,286,"independent"
20,287,"independent"
18,288,"independent"
14,289,"independent"
18,290,"independent"
24,291,"independent"
24,292,"independent"
22,293,"independent"
20,294,"independent"
26,295,"independent"
18,296,"independent"
20,297,"independent"
20,298,"independent"
22,299,"independent"
24,300,"independent"
24,301,"independent"
20,302,"independent"
24,303,"independent"
18,304,"independent"
18,305,"independent"
20,306,"independent"
24,307,"independent"
22,308,"independent"
26,309,"independent"
24,310,"independent"
24,311,"independent"
18,312,"independent"
22,313,"independent"
16,314,"independent"
20,315,"independent"
20,316,"independent"
18,317,"independent"
14,318,"independent"
20,319,"independent"
22,320,"independent"
24,321,"independent"
18,322,"independent"
20,323,"independent"
20,324,"independent"
22,325,"independent"
24,326,"independent"
22,327,"independent"
26,328,"independent"
22,329,"independent"
16,330,"independent"
20,331,"independent"
26,332,"independent"
22,333,"independent"
18,334,"independent"
22,335,"independent"
26,336,"independent"
18,337,"independent"
18,338,"independent"
22,339,"independent"
22,340,"independent"
20,341,"independent"
24,342,"independent"
22,343,"independent"
22,344,"independent"
20,345,"independent"
14,346,"independent"
22,347,"independent"
26,348,"independent"
24,349,"independent"
22,350,"independent"
20,351,"independent"
16,352,"independent"
24,353,"independent"
20,354,"independent"
20,355,"independent"
22,356,"independent"
26,357,"independent"
24,358,"independent"
24,359,"independent"
18,360,"independent"
16,361,"independent"
18,362,"independent"
18,363,"independent"
16,364,"independent"
20,365,"independent"
18,366,"independent"
20,367,"independent"
22,368,"independent"
24,369,"independent"
24,370,"independent"
14,371,"independent"
22,372,"independent"
26,373,"independent"
16,374,"independent"
18,375,"independent"
26,376,"independent"
22,377,"independent"
22,378,"independent"
22,379,"independent"
18,380,"independent"
22,381,"independent"
26,382,"independent"
22,383,"independent"
24,384,"independent"
20,385,"independent"
22,386,"independent"
26,387,"independent"
20,388,"independent"
22,389,"independent"
20,390,"independent"
22,391,"independent"
24,392,"independent"
26,393,"independent"
18,394,"independent"
22,395,"independent"
22,396,"independent"
28,397,"independent"
24,398,"independent"
22,399,"independent"
22,400,"independent"
28,401,"independent"
24,402,"independent"
26,403,"independent"
26,404,"independent"
26,405,"independent"
26,406,"independent"
24,407,"independent"
18,408,"independent"
22,409,"independent"
22,410,"independent"
22,411,"independent"
24,412,"independent"
22,413,"independent"
20,414,"independent"
24,415,"independent"
24,416,"independent"
22,417,"independent"
24,418,"independent"
