site_dep_param,total tiers,current tier,size,leaves,independent_sites
"ZIP(0.5, 6.0)",3,3,2139,10,200
"ZIP(0.5, 6.0)",4,1,200,10,200
"ZIP(0.5, 6.0)",4,2,615,10,200
"ZIP(0.5, 6.0)",4,3,1670,10,200
"ZIP(0.5, 6.0)",4,4,5206,10,200
"ZIP(0.7, 10.0)",2,1,200,10,200
"ZIP(0.7, 10.0)",2,2,632,10,200
"ZIP(0.7, 10.0)",3,1,200,10,200
"ZIP(0.7, 10.0)",3,2,559,10,200
"ZIP(0.7, 10.0)",3,3,1474,10,200
"ZIP(0.7, 10.0)",4,1,200,10,200
"ZIP(0.7, 10.0)",4,2,613,10,200
"ZIP(0.7, 10.0)",4,3,1836,10,200
"ZIP(0.7, 10.0)",4,4,5652,10,200
"ZIP(0.9, 30.0)",2,1,200,10,200
"ZIP(0.9, 30.0)",2,2,692,10,200
"ZIP(0.9, 30.0)",3,1,200,10,200
"ZIP(0.9, 30.0)",3,2,765,10,200
"ZIP(0.9, 30.0)",3,3,2265,10,200
"ZIP(0.9, 30.0)",4,1,200,10,200
"ZIP(0.9, 30.0)",4,2,435,10,200
"ZIP(0.9, 30.0)",4,3,1360,10,200
"ZIP(0.9, 30.0)",4,4,3788,10,200
"ZIP(0.2, 3.75)",2,1,10,10,10
"ZIP(0.2, 3.75)",2,2,32,10,10
"ZIP(0.2, 3.75)",3,1,10,10,10
"ZIP(0.2, 3.75)",3,2,39,10,10
"ZIP(0.2, 3.75)",3,3,137,10,10
"ZIP(0.2, 3.75)",4,1,10,10,10
"ZIP(0.2, 3.75)",4,2,31,10,10
"ZIP(0.2, 3.75)",4,3,106,10,10
"ZIP(0.2, 3.75)",4,4,296,10,10
"ZIP(0.5, 6.0)",2,1,10,10,10
"ZIP(0.5, 6.0)",2,2,39,10,10
"ZIP(0.5, 6.0)",3,1,10,10,10
"ZIP(0.5, 6.0)",3,2,38,10,10
"ZIP(0.5, 6.0)",3,3,129,10,10
"ZIP(0.5, 6.0)",4,1,10,10,10
"ZIP(0.5, 6.0)",4,2,18,10,10
"ZIP(0.5, 6.0)",4,3,37,10,10
"ZIP(0.5, 6.0)",4,4,91,10,10
"ZIP(0.7, 10.0)",2,1,10,10,10
"ZIP(0.7, 10.0)",2,2,25,10,10
"ZIP(0.7, 10.0)",3,1,10,10,10
"ZIP(0.7, 10.0)",3,2,44,10,10
