# BEAST v10.5.0
# Generated Wed Apr 29 21:45:12 BST 2026 [seed=1777495510379]
# run_sites50_seed5_independent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-3930.5143383265586	-1860.7417518525447	-2069.7725864740137	272.4859715887311	939.4022725609221	2.0	1.0	1.0	-2069.7725864740137	0.0	-1858.7032768856056
1000	-1830.19750890528	-165.291921404585	-1664.905587500695	271.8633804630938	861.053182898458	0.11855233645830607	1.0	1.0	-1664.905587500695	0.0	-163.91948863043274
2000	-1540.5967196491124	-131.62695964085296	-1408.9697600082595	249.262389959527	797.4864303126301	0.020800176641056146	1.0	1.0	-1408.9697600082595	0.0	-128.89887881796923
3000	-1300.5051006098756	-127.84908550244968	-1172.656015107426	251.83259480912423	806.846098311593	0.04210713080676074	1.0	1.0	-1172.656015107426	0.0	-125.8325812718413
4000	-1190.692253324046	-127.76211379767652	-1062.9301395263697	246.4852238947934	809.7496665298222	0.03936399588479437	1.0	1.0	-1062.9301395263697	0.0	-125.68718956513881
5000	-1147.1454002880819	-127.66217772997484	-1019.4832225581071	240.63814337161563	805.1757526219964	0.04072108941607493	1.0	1.0	-1019.4832225581071	0.0	-125.61689926285683
6000	-1128.151886330267	-127.4806042573985	-1000.6712820728684	247.1450670344492	803.285797095762	0.03586567342772614	1.0	1.0	-1000.6712820728684	0.0	-125.32164984017146
7000	-1131.5183026730272	-127.73294682812259	-1003.7853558449046	250.66020784310334	800.4000802045429	0.04360151343020581	1.0	1.0	-1003.7853558449046	0.0	-125.74589395487715
8000	-1119.6460415501874	-127.02484953085302	-992.6211920193344	236.7869013506358	791.086218536512	0.039280630698278515	1.0	1.0	-992.6211920193344	0.0	-124.94805403621778
9000	-1104.2290802023044	-125.28998099777276	-978.9390992045317	233.87205759141077	742.2532089395095	0.04494994099200609	1.0	1.0	-978.9390992045317	0.0	-123.32820703652733
10000	-1089.8885621332934	-126.21550730669055	-963.6730548266028	236.52833497323576	751.6048173438602	0.049222855652587674	1.0	1.0	-963.6730548266028	0.0	-124.32665474136556
11000	-1064.3139012129657	-125.36892447745886	-938.9449767355069	232.22234660069867	748.2340686647394	0.041772621910883254	1.0	1.0	-938.9449767355069	0.0	-123.34560868647897
12000	-1055.903428691402	-125.80190597387008	-930.101522717532	226.4180305647464	734.6394705578443	0.05209370530189339	1.0	1.0	-930.101522717532	0.0	-123.9567156372202
13000	-1055.9899813101945	-124.56660813485067	-931.4233731753437	221.77984040450002	723.8774676880843	0.046395253190904484	1.0	1.0	-931.4233731753437	0.0	-122.6306640727748
14000	-1049.3817073361809	-123.8095286533241	-925.5721786828567	218.09152820815638	710.7502406674072	0.04290264160379388	1.0	1.0	-925.5721786828567	0.0	-121.8088973390022
15000	-1054.3943081718478	-124.39199573841809	-930.0023124334297	219.9331697329806	724.3461476109763	0.042873390525431015	1.0	1.0	-930.0023124334297	0.0	-122.39078873813337
16000	-1054.5366239028424	-126.46280437023975	-928.0738195326027	209.62419215232654	718.6877893568543	0.06004489715229236	1.0	1.0	-928.0738195326027	0.0	-124.72075300726948
17000	-1048.1344768595488	-123.17104221184488	-924.9634346477039	208.4965669946233	694.9818790052786	0.040825591083182254	1.0	1.0	-924.9634346477039	0.0	-121.12798469379585
18000	-1045.5773112496177	-122.5894528559443	-922.9878583936734	208.61981359755765	678.4282633402938	0.03940541713218638	1.0	1.0	-922.9878583936734	0.0	-120.51545617366236
19000	-1045.382906731225	-121.71618113552314	-923.6667255957018	198.1154843262234	657.6449031256777	0.05117291294234899	1.0	1.0	-923.6667255957018	0.0	-119.85740837434395
20000	-1049.8958686733724	-122.70471265370254	-927.1911560196698	192.976458504918	662.409968895924	0.03440638877757994	1.0	1.0	-927.1911560196698	0.0	-120.50701225545487
21000	-1046.74651366806	-121.8087970566243	-924.9377166114358	190.12823796978066	663.7867492195687	0.042500865887724934	1.0	1.0	-924.9377166114358	0.0	-119.80020566011392
22000	-1045.3472615416022	-121.2547508380563	-924.0925107035458	180.69546468445333	649.7680923569881	0.04178792016934423	1.0	1.0	-924.0925107035458	0.0	-119.2317483710625
23000	-1001.9927675304021	-121.94758735831799	-880.0451801720842	181.26170848688528	649.42211125887	0.035944993618604516	1.0	1.0	-880.0451801720842	0.0	-119.79067210325823
24000	-999.89831820686	-120.12583313862521	-879.7724850682348	167.16020895186855	628.3088407497679	0.04717524119244595	1.0	1.0	-879.7724850682348	0.0	-118.2033172813874
25000	-998.7522054723781	-120.64234100422883	-878.1098644681493	163.89848475742997	636.7197543274236	0.05111738270481381	1.0	1.0	-878.1098644681493	0.0	-118.78273676646185
26000	-991.6213538526616	-120.13137197018537	-871.4899818824763	161.9844548005079	618.5637057456713	0.057183856139266714	1.0	1.0	-871.4899818824763	0.0	-118.35488397936567
27000	-991.2182883201066	-119.87669637822793	-871.3415919418786	164.37979228206407	616.0088846487023	0.041465262180777916	1.0	1.0	-871.3415919418786	0.0	-117.84704839420735
28000	-984.920222234613	-118.90661059743174	-866.0136116371813	158.91058429045225	601.5506502681243	0.04604117836866407	1.0	1.0	-866.0136116371813	0.0	-116.96445471583704
29000	-989.1079909210916	-121.17888351196854	-867.929107409123	169.8664095272001	602.9206247562602	0.07117412702190681	1.0	1.0	-867.929107409123	0.0	-119.54850055324559
30000	-994.1394497946549	-118.81303817478026	-875.3264116198746	162.3066041994471	598.8367867149279	0.05426773425323078	1.0	1.0	-875.3264116198746	0.0	-116.99845340032715
31000	-993.8775856965922	-117.31091395355877	-876.5666717430335	151.78954276229035	564.9778959967979	0.06108335929805897	1.0	1.0	-876.5666717430335	0.0	-115.58070606921176
32000	-996.5333305517339	-116.1663732000166	-880.3669573517174	153.9794004300996	538.7331780488444	0.04475497932983052	1.0	1.0	-880.3669573517174	0.0	-114.20101679268801
33000	-989.405506412791	-113.76024901388088	-875.6452573989102	149.60341759592407	507.22756285921383	0.05952654186990089	1.0	1.0	-875.6452573989102	0.0	-112.0121592955106
34000	-988.9164989564932	-113.41764205258565	-875.4988569039076	146.8499964792185	495.51366750982857	0.06961178943841469	1.0	1.0	-875.4988569039076	0.0	-111.7734118741495
35000	-957.8082512794687	-114.00162751051928	-843.8066237689494	152.92448098915688	494.57518226603236	0.045909305411957806	1.0	1.0	-843.8066237689494	0.0	-112.05713914694122
36000	-950.3670793020084	-112.80150239858514	-837.5655769034232	144.09465656925278	483.3920749146131	0.051149073688692794	1.0	1.0	-837.5655769034232	0.0	-110.94237285742999
37000	-931.9804382357789	-112.55915192284533	-819.4212863129336	143.82527335403043	474.6052464733365	0.049390111993811596	1.0	1.0	-819.4212863129336	0.0	-110.67295234603527
38000	-912.7108353853203	-110.16285159342175	-802.5479837918986	139.9616509809529	448.5127092673619	0.07029341732400764	1.0	1.0	-802.5479837918986	0.0	-108.52472757048707
39000	-912.7427227092812	-112.46184433075025	-800.2808783785309	128.5954644473471	413.4506634671971	0.11995499848855215	1.0	1.0	-800.2808783785309	0.0	-111.09399366607717
