"RF","tree_id","dataset"
22,1,"independent"
20,2,"independent"
22,3,"independent"
22,4,"independent"
22,5,"independent"
28,6,"independent"
28,7,"independent"
24,8,"independent"
24,9,"independent"
26,10,"independent"
26,11,"independent"
16,12,"independent"
26,13,"independent"
26,14,"independent"
26,15,"independent"
28,16,"independent"
28,17,"independent"
14,18,"independent"
24,19,"independent"
28,20,"independent"
22,21,"independent"
26,22,"independent"
30,23,"independent"
22,24,"independent"
24,25,"independent"
14,26,"independent"
20,27,"independent"
16,28,"independent"
30,29,"independent"
30,30,"independent"
20,31,"independent"
30,32,"independent"
24,33,"independent"
28,34,"independent"
28,35,"independent"
18,36,"independent"
18,37,"independent"
26,38,"independent"
22,39,"independent"
22,40,"independent"
10,41,"independent"
20,42,"independent"
24,43,"independent"
20,44,"independent"
16,45,"independent"
22,46,"independent"
22,47,"independent"
30,48,"independent"
20,49,"independent"
32,50,"independent"
24,51,"independent"
22,52,"independent"
22,53,"independent"
24,54,"independent"
26,55,"independent"
16,56,"independent"
28,57,"independent"
20,58,"independent"
24,59,"independent"
26,60,"independent"
26,61,"independent"
18,62,"independent"
24,63,"independent"
18,64,"independent"
30,65,"independent"
30,66,"independent"
22,67,"independent"
20,68,"independent"
20,69,"independent"
24,70,"independent"
26,71,"independent"
28,72,"independent"
32,73,"independent"
24,74,"independent"
24,75,"independent"
26,76,"independent"
20,77,"independent"
24,78,"independent"
22,79,"independent"
26,80,"independent"
28,81,"independent"
30,82,"independent"
26,83,"independent"
26,84,"independent"
28,85,"independent"
24,86,"independent"
28,87,"independent"
24,88,"independent"
22,89,"independent"
30,90,"independent"
32,91,"independent"
24,92,"independent"
30,93,"independent"
24,94,"independent"
28,95,"independent"
22,96,"independent"
26,97,"independent"
20,98,"independent"
24,99,"independent"
26,100,"independent"
26,101,"independent"
24,102,"independent"
18,103,"independent"
20,104,"independent"
22,105,"independent"
24,106,"independent"
30,107,"independent"
22,108,"independent"
24,109,"independent"
24,110,"independent"
24,111,"independent"
22,112,"independent"
22,113,"independent"
28,114,"independent"
20,115,"independent"
14,116,"independent"
28,117,"independent"
28,118,"independent"
34,119,"independent"
26,120,"independent"
24,121,"independent"
30,122,"independent"
24,123,"independent"
22,124,"independent"
30,125,"independent"
22,126,"independent"
28,127,"independent"
16,128,"independent"
16,129,"independent"
24,130,"independent"
30,131,"independent"
20,132,"independent"
16,133,"independent"
22,134,"independent"
26,135,"independent"
24,136,"independent"
18,137,"independent"
18,138,"independent"
30,139,"independent"
28,140,"independent"
20,141,"independent"
28,142,"independent"
24,143,"independent"
18,144,"independent"
22,145,"independent"
22,146,"independent"
28,147,"independent"
28,148,"independent"
32,149,"independent"
20,150,"independent"
24,151,"independent"
22,152,"independent"
26,153,"independent"
24,154,"independent"
22,155,"independent"
22,156,"independent"
24,157,"independent"
24,158,"independent"
20,159,"independent"
26,160,"independent"
32,161,"independent"
26,162,"independent"
22,163,"independent"
26,164,"independent"
24,165,"independent"
28,166,"independent"
22,167,"independent"
22,168,"independent"
26,169,"independent"
28,170,"independent"
24,171,"independent"
22,172,"independent"
20,173,"independent"
30,174,"independent"
32,175,"independent"
28,176,"independent"
32,177,"independent"
22,178,"independent"
30,179,"independent"
24,180,"independent"
22,181,"independent"
28,182,"independent"
18,183,"independent"
26,184,"independent"
26,185,"independent"
26,186,"independent"
22,187,"independent"
26,188,"independent"
28,189,"independent"
26,190,"independent"
24,191,"independent"
24,192,"independent"
28,193,"independent"
34,194,"independent"
22,195,"independent"
22,196,"independent"
18,197,"independent"
20,198,"independent"
22,199,"independent"
24,200,"independent"
28,201,"independent"
20,202,"independent"
24,203,"independent"
28,204,"independent"
24,205,"independent"
24,206,"independent"
24,207,"independent"
20,208,"independent"
20,209,"independent"
26,210,"independent"
20,211,"independent"
22,212,"independent"
26,213,"independent"
32,214,"independent"
28,215,"independent"
26,216,"independent"
22,217,"independent"
18,218,"independent"
28,219,"independent"
30,220,"independent"
20,221,"independent"
24,222,"independent"
28,223,"independent"
22,224,"independent"
16,225,"independent"
28,226,"independent"
20,227,"independent"
24,228,"independent"
18,229,"independent"
26,230,"independent"
30,231,"independent"
24,232,"independent"
14,233,"independent"
22,234,"independent"
26,235,"independent"
26,236,"independent"
24,237,"independent"
24,238,"independent"
28,239,"independent"
22,240,"independent"
28,241,"independent"
28,242,"independent"
32,243,"independent"
30,244,"independent"
22,245,"independent"
20,246,"independent"
22,247,"independent"
26,248,"independent"
18,249,"independent"
22,250,"independent"
20,251,"independent"
32,252,"independent"
24,253,"independent"
20,254,"independent"
24,255,"independent"
22,256,"independent"
32,257,"independent"
26,258,"independent"
24,259,"independent"
34,260,"independent"
30,261,"independent"
28,262,"independent"
26,263,"independent"
18,264,"independent"
24,265,"independent"
22,266,"independent"
20,267,"independent"
24,268,"independent"
26,269,"independent"
22,270,"independent"
18,271,"independent"
28,272,"independent"
24,273,"independent"
26,274,"independent"
32,275,"independent"
24,276,"independent"
26,277,"independent"
26,278,"independent"
20,279,"independent"
26,280,"independent"
28,281,"independent"
20,282,"independent"
20,283,"independent"
16,284,"independent"
20,285,"independent"
22,286,"independent"
32,287,"independent"
26,288,"independent"
20,289,"independent"
26,290,"independent"
20,291,"independent"
26,292,"independent"
28,293,"independent"
18,294,"independent"
32,295,"independent"
28,296,"independent"
24,297,"independent"
14,298,"independent"
