# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
130000	-499.6266062108455	-2.965065178014286	-496.6615410328312	0.426553309606317	1.45859629932051	0.9635707938748318	0.6796109548822514	1.0	1.0	-496.6615410328312	0.0	-1.4387495797525813
140000	-499.82542913477016	-2.7299829939542457	-497.0954461408159	0.28222089246999604	1.0624576394777825	0.4623201630063375	0.5017767441628677	1.0	1.0	-497.0954461408159	0.0	-1.4796983495536271
150000	-498.4565341708927	-2.6637907717690767	-495.79274339912365	0.3254174052370314	1.1560020851207462	1.636412780191958	0.6119481376209448	1.0	1.0	-495.79274339912365	0.0	-0.7896473611806969
160000	-499.324536708577	-2.6045679038376823	-496.7199688047393	0.3182311501657144	1.1501739068162542	0.6438189398852239	0.40285203750087484	1.0	1.0	-496.7199688047393	0.0	-1.2594858241715923
170000	-498.3203716949291	-2.8379033675924292	-495.4824683273367	0.3535141518483928	1.320004148349528	0.7205603710214248	0.31099609435176817	1.0	1.0	-495.4824683273367	0.0	-1.449479906327564
180000	-504.4625292924741	-3.022456369124909	-501.4400729233492	0.3838859570632555	1.208736130089054	1.43450009796554	0.736003534128609	1.0	1.0	-501.4400729233492	0.0	-1.2464461602152808
190000	-502.7180360648797	-3.4586828414838164	-499.25935322339586	0.3612069007701953	1.2692709572933127	2.5194576751442	0.45698482760103554	1.0	1.0	-499.25935322339586	0.0	-1.208953449183513
200000	-499.05438357082716	-2.476739478399063	-496.5776440924281	0.3322657915435649	1.223139666009471	1.229080619347575	0.09860101741113951	1.0	1.0	-496.5776440924281	0.0	-0.8060665252316215
210000	-499.2282044141575	-2.8679755333094956	-496.360228880848	0.3441503029665001	1.312481765016234	2.2833152257350617	0.19965785490881813	1.0	1.0	-496.360228880848	0.0	-0.7111866935805363
220000	-498.8232817558844	-2.6339241862316047	-496.1893575696528	0.3947134974528544	1.3913408979364457	1.069418788738908	0.44409380433902873	1.0	1.0	-496.1893575696528	0.0	-1.0490110455387152
230000	-498.60545158546836	-2.426839711110806	-496.17861187435756	0.32323075714384525	1.2411939462575572	1.3667707123838762	0.14691873038448336	1.0	1.0	-496.17861187435756	0.0	-0.684935504568027
240000	-501.745694801582	-3.2386629554121096	-498.50703184616987	0.38298944914995714	1.3295404380162843	1.3617303973776727	0.7051596787539669	1.0	1.0	-498.50703184616987	0.0	-1.4993213092103892
250000	-498.4994198759366	-3.064066927029055	-495.43535294890756	0.3475178401940837	1.3052829770983125	1.33562392834535	0.6770916892631837	1.0	1.0	-495.43535294890756	0.0	-1.3380526458242532
260000	-499.55971997283433	-2.412346965061042	-497.1473730077733	0.3450492769595823	1.1997773730221273	1.6399278183859811	0.4061068486472456	1.0	1.0	-497.1473730077733	0.0	-0.5365407913976575
270000	-501.8239293578095	-3.8478140382854544	-497.97611531952407	0.47414671408238673	1.6112361086201379	1.0617561544722032	0.7503070079232421	1.0	1.0	-497.97611531952407	0.0	-2.267098922091168
280000	-499.3846103481703	-3.114032190474065	-496.27057815769626	0.39632258968217976	1.4140622631216115	2.5136083361907673	0.0668832305009925	1.0	1.0	-496.27057815769626	0.0	-0.8665474959420001
290000	-500.67915605403607	-4.221093600280901	-496.4580624537552	0.3669034030277649	1.361113958269574	3.6981146879307323	0.19431359992606448	1.0	1.0	-496.4580624537552	0.0	-1.567810126491996
