# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-452.4518689975303	-26.10877396868121	-426.3430950288491	82.54256063418005	-82.54256063418005	187.68447900873753	29.83809662620245	0.02737993445620891	0.027379934456208906	-426.3430950288491	0.0	-14.477658904831408
11000	-444.99653095215143	-21.919979229834333	-423.0765517223171	36.287004291262306	-36.287004291262306	84.99340612780315	20.16929940109127	0.03794019185691398	0.037940191856913975	-423.0765517223171	0.0	-12.044693724845041
12000	-445.52751228544963	-21.788200956363333	-423.7393113290863	38.32292668222385	-38.32292668222385	83.90316439020279	14.07569665044992	0.044419604252616256	0.04441960425261625	-423.7393113290863	0.0	-11.690791949050007
13000	-444.96741481684484	-21.441217132893826	-423.526197683951	37.7578881166706	-37.7578881166706	86.71972850239224	26.033394149367307	0.029672695658390834	0.029672695658390837	-423.526197683951	0.0	-12.089508020140867
14000	-444.7475626816843	-18.565898477650244	-426.18166420403406	14.823343943609588	-14.823343943609588	34.0795691148122	9.207511203704891	0.07778956633167577	0.07778956633167579	-426.18166420403406	0.0	-9.242627926213354
15000	-445.5348627575634	-22.196235810812105	-423.33862694675133	40.843378401068634	-40.843378401068634	98.21531949021224	20.222564385752815	0.030963438213380715	0.03096343821338072	-423.33862694675133	0.0	-12.675740650070324
16000	-447.10650988433594	-24.675654352346903	-422.43085553198904	80.75715056721118	-80.75715056721118	183.51562099954296	31.4408601400049	0.021406398255754255	0.021406398255754255	-422.43085553198904	0.0	-14.312875827208552
17000	-448.89291367531825	-26.03995850992007	-422.8529551653982	106.95201204813219	-106.95201204813219	238.54367671939607	53.80733651279368	0.018409616723742146	0.018409616723742146	-422.8529551653982	0.0	-14.861494778784683
18000	-446.52183995389777	-22.067357595820603	-424.45448235807714	44.05670895274471	-44.05670895274471	106.98020513725021	32.86567064719872	0.0218664516790643	0.021866451679064296	-424.45448235807714	0.0	-12.96754937746927
19000	-446.16687435929094	-22.423230771262602	-423.74364358802836	51.315451988600735	-51.315451988600735	115.26200820388871	31.061572864671316	0.02525730904758885	0.02525730904758885	-423.74364358802836	0.0	-12.774897751161683
