"RF","tree_id","dataset"
28,1,"independent"
26,2,"independent"
30,3,"independent"
20,4,"independent"
30,5,"independent"
16,6,"independent"
24,7,"independent"
32,8,"independent"
28,9,"independent"
24,10,"independent"
28,11,"independent"
26,12,"independent"
20,13,"independent"
24,14,"independent"
20,15,"independent"
28,16,"independent"
20,17,"independent"
28,18,"independent"
22,19,"independent"
26,20,"independent"
26,21,"independent"
28,22,"independent"
26,23,"independent"
26,24,"independent"
28,25,"independent"
26,26,"independent"
30,27,"independent"
20,28,"independent"
28,29,"independent"
26,30,"independent"
18,31,"independent"
24,32,"independent"
26,33,"independent"
22,34,"independent"
32,35,"independent"
30,36,"independent"
26,37,"independent"
22,38,"independent"
28,39,"independent"
26,40,"independent"
30,41,"independent"
22,42,"independent"
20,43,"independent"
32,44,"independent"
22,45,"independent"
30,46,"independent"
20,47,"independent"
28,48,"independent"
20,49,"independent"
28,50,"independent"
30,51,"independent"
26,52,"independent"
24,53,"independent"
26,54,"independent"
24,55,"independent"
26,56,"independent"
28,57,"independent"
24,58,"independent"
24,59,"independent"
26,60,"independent"
24,61,"independent"
26,62,"independent"
28,63,"independent"
24,64,"independent"
28,65,"independent"
28,66,"independent"
26,67,"independent"
28,68,"independent"
26,69,"independent"
24,70,"independent"
28,71,"independent"
24,72,"independent"
24,73,"independent"
26,74,"independent"
30,75,"independent"
18,76,"independent"
18,77,"independent"
26,78,"independent"
32,79,"independent"
32,80,"independent"
28,81,"independent"
32,82,"independent"
24,83,"independent"
28,84,"independent"
24,85,"independent"
26,86,"independent"
22,87,"independent"
26,88,"independent"
24,89,"independent"
24,90,"independent"
24,91,"independent"
28,92,"independent"
20,93,"independent"
26,94,"independent"
28,95,"independent"
20,96,"independent"
30,97,"independent"
30,98,"independent"
28,99,"independent"
26,100,"independent"
24,101,"independent"
20,102,"independent"
22,103,"independent"
26,104,"independent"
32,105,"independent"
28,106,"independent"
16,107,"independent"
26,108,"independent"
26,109,"independent"
26,110,"independent"
24,111,"independent"
28,112,"independent"
26,113,"independent"
24,114,"independent"
28,115,"independent"
26,116,"independent"
32,117,"independent"
30,118,"independent"
22,119,"independent"
26,120,"independent"
24,121,"independent"
22,122,"independent"
32,123,"independent"
24,124,"independent"
22,125,"independent"
20,126,"independent"
26,127,"independent"
24,128,"independent"
24,129,"independent"
26,130,"independent"
26,131,"independent"
26,132,"independent"
26,133,"independent"
26,134,"independent"
20,135,"independent"
26,136,"independent"
30,137,"independent"
32,138,"independent"
24,139,"independent"
32,140,"independent"
20,141,"independent"
22,142,"independent"
20,143,"independent"
26,144,"independent"
26,145,"independent"
26,146,"independent"
20,147,"independent"
28,148,"independent"
22,149,"independent"
24,150,"independent"
26,151,"independent"
22,152,"independent"
28,153,"independent"
18,154,"independent"
24,155,"independent"
24,156,"independent"
22,157,"independent"
28,158,"independent"
28,159,"independent"
24,160,"independent"
28,161,"independent"
16,162,"independent"
20,163,"independent"
22,164,"independent"
26,165,"independent"
24,166,"independent"
28,167,"independent"
32,168,"independent"
24,169,"independent"
20,170,"independent"
22,171,"independent"
26,172,"independent"
26,173,"independent"
28,174,"independent"
18,175,"independent"
28,176,"independent"
28,177,"independent"
24,178,"independent"
30,179,"independent"
26,180,"independent"
26,181,"independent"
24,182,"independent"
28,183,"independent"
22,184,"independent"
30,185,"independent"
22,186,"independent"
20,187,"independent"
30,188,"independent"
32,189,"independent"
32,190,"independent"
26,191,"independent"
32,192,"independent"
28,193,"independent"
28,194,"independent"
26,195,"independent"
24,196,"independent"
24,197,"independent"
24,198,"independent"
30,199,"independent"
26,200,"independent"
28,201,"independent"
24,202,"independent"
26,203,"independent"
26,204,"independent"
28,205,"independent"
32,206,"independent"
24,207,"independent"
28,208,"independent"
22,209,"independent"
26,210,"independent"
26,211,"independent"
26,212,"independent"
26,213,"independent"
24,214,"independent"
26,215,"independent"
28,216,"independent"
22,217,"independent"
24,218,"independent"
24,219,"independent"
22,220,"independent"
22,221,"independent"
28,222,"independent"
28,223,"independent"
28,224,"independent"
24,225,"independent"
26,226,"independent"
26,227,"independent"
24,228,"independent"
26,229,"independent"
28,230,"independent"
30,231,"independent"
20,232,"independent"
26,233,"independent"
24,234,"independent"
30,235,"independent"
24,236,"independent"
30,237,"independent"
28,238,"independent"
28,239,"independent"
30,240,"independent"
26,241,"independent"
28,242,"independent"
24,243,"independent"
24,244,"independent"
22,245,"independent"
26,246,"independent"
30,247,"independent"
22,248,"independent"
22,249,"independent"
28,250,"independent"
26,251,"independent"
26,252,"independent"
20,253,"independent"
28,254,"independent"
22,255,"independent"
28,256,"independent"
30,257,"independent"
26,258,"independent"
26,259,"independent"
26,260,"independent"
28,261,"independent"
30,262,"independent"
24,263,"independent"
28,264,"independent"
24,265,"independent"
26,266,"independent"
20,267,"independent"
24,268,"independent"
36,269,"independent"
30,270,"independent"
