"RF","tree_id","dataset"
28,1,"independent"
32,2,"independent"
24,3,"independent"
24,4,"independent"
24,5,"independent"
36,6,"independent"
22,7,"independent"
32,8,"independent"
26,9,"independent"
34,10,"independent"
30,11,"independent"
32,12,"independent"
28,13,"independent"
30,14,"independent"
30,15,"independent"
34,16,"independent"
32,17,"independent"
30,18,"independent"
30,19,"independent"
32,20,"independent"
34,21,"independent"
30,22,"independent"
26,23,"independent"
26,24,"independent"
26,25,"independent"
26,26,"independent"
22,27,"independent"
30,28,"independent"
24,29,"independent"
28,30,"independent"
28,31,"independent"
28,32,"independent"
28,33,"independent"
26,34,"independent"
28,35,"independent"
32,36,"independent"
30,37,"independent"
24,38,"independent"
32,39,"independent"
26,40,"independent"
28,41,"independent"
28,42,"independent"
30,43,"independent"
24,44,"independent"
32,45,"independent"
32,46,"independent"
32,47,"independent"
28,48,"independent"
32,49,"independent"
28,50,"independent"
26,51,"independent"
28,52,"independent"
26,53,"independent"
24,54,"independent"
28,55,"independent"
24,56,"independent"
30,57,"independent"
32,58,"independent"
32,59,"independent"
30,60,"independent"
26,61,"independent"
26,62,"independent"
32,63,"independent"
30,64,"independent"
24,65,"independent"
30,66,"independent"
32,67,"independent"
28,68,"independent"
28,69,"independent"
30,70,"independent"
32,71,"independent"
34,72,"independent"
32,73,"independent"
34,74,"independent"
26,75,"independent"
28,76,"independent"
28,77,"independent"
24,78,"independent"
28,79,"independent"
26,80,"independent"
26,81,"independent"
32,82,"independent"
24,83,"independent"
28,84,"independent"
32,85,"independent"
28,86,"independent"
26,87,"independent"
32,88,"independent"
32,89,"independent"
30,90,"independent"
28,91,"independent"
32,92,"independent"
18,93,"independent"
30,94,"independent"
24,95,"independent"
28,96,"independent"
30,97,"independent"
24,98,"independent"
28,99,"independent"
26,100,"independent"
24,101,"independent"
26,102,"independent"
30,103,"independent"
28,104,"independent"
32,105,"independent"
26,106,"independent"
28,107,"independent"
28,108,"independent"
34,109,"independent"
26,110,"independent"
30,111,"independent"
32,112,"independent"
34,113,"independent"
30,114,"independent"
28,115,"independent"
24,116,"independent"
32,117,"independent"
34,118,"independent"
26,119,"independent"
34,120,"independent"
32,121,"independent"
24,122,"independent"
30,123,"independent"
34,124,"independent"
30,125,"independent"
34,126,"independent"
26,127,"independent"
34,128,"independent"
32,129,"independent"
32,130,"independent"
30,131,"independent"
32,132,"independent"
30,133,"independent"
30,134,"independent"
32,135,"independent"
32,136,"independent"
22,137,"independent"
20,138,"independent"
32,139,"independent"
32,140,"independent"
28,141,"independent"
26,142,"independent"
28,143,"independent"
32,144,"independent"
32,145,"independent"
30,146,"independent"
26,147,"independent"
32,148,"independent"
32,149,"independent"
24,150,"independent"
28,151,"independent"
30,152,"independent"
26,153,"independent"
26,154,"independent"
30,155,"independent"
30,156,"independent"
30,157,"independent"
26,158,"independent"
32,159,"independent"
32,160,"independent"
32,161,"independent"
30,162,"independent"
32,163,"independent"
32,164,"independent"
30,165,"independent"
32,166,"independent"
24,167,"independent"
30,168,"independent"
28,169,"independent"
30,170,"independent"
28,171,"independent"
28,172,"independent"
32,173,"independent"
28,174,"independent"
32,175,"independent"
34,176,"independent"
32,177,"independent"
26,178,"independent"
34,179,"independent"
30,180,"independent"
24,181,"independent"
34,182,"independent"
32,183,"independent"
30,184,"independent"
28,185,"independent"
32,186,"independent"
30,187,"independent"
18,188,"independent"
30,189,"independent"
28,190,"independent"
30,191,"independent"
24,192,"independent"
28,193,"independent"
30,194,"independent"
34,195,"independent"
36,196,"independent"
32,197,"independent"
30,198,"independent"
36,199,"independent"
30,200,"independent"
36,201,"independent"
34,202,"independent"
26,203,"independent"
30,204,"independent"
36,205,"independent"
26,206,"independent"
26,207,"independent"
34,208,"independent"
28,209,"independent"
28,210,"independent"
34,211,"independent"
36,212,"independent"
30,213,"independent"
30,214,"independent"
34,215,"independent"
28,216,"independent"
24,217,"independent"
28,218,"independent"
32,219,"independent"
32,220,"independent"
32,221,"independent"
30,222,"independent"
32,223,"independent"
26,224,"independent"
24,225,"independent"
30,226,"independent"
30,227,"independent"
34,228,"independent"
32,229,"independent"
34,230,"independent"
28,231,"independent"
32,232,"independent"
26,233,"independent"
30,234,"independent"
28,235,"independent"
34,236,"independent"
28,237,"independent"
26,238,"independent"
26,239,"independent"
34,240,"independent"
28,241,"independent"
26,242,"independent"
16,243,"independent"
34,244,"independent"
30,245,"independent"
30,246,"independent"
30,247,"independent"
28,248,"independent"
28,249,"independent"
24,250,"independent"
32,251,"independent"
26,252,"independent"
30,253,"independent"
32,254,"independent"
30,255,"independent"
30,256,"independent"
32,257,"independent"
32,258,"independent"
34,259,"independent"
26,260,"independent"
32,261,"independent"
34,262,"independent"
36,263,"independent"
24,264,"independent"
34,265,"independent"
24,266,"independent"
32,267,"independent"
20,268,"independent"
30,269,"independent"
24,270,"independent"
26,271,"independent"
34,272,"independent"
34,273,"independent"
24,274,"independent"
24,275,"independent"
30,276,"independent"
22,277,"independent"
30,278,"independent"
24,279,"independent"
28,280,"independent"
28,281,"independent"
28,282,"independent"
34,283,"independent"
36,284,"independent"
36,285,"independent"
30,286,"independent"
28,287,"independent"
30,288,"independent"
28,289,"independent"
32,290,"independent"
30,291,"independent"
32,292,"independent"
26,293,"independent"
30,294,"independent"
30,295,"independent"
32,296,"independent"
34,297,"independent"
32,298,"independent"
32,299,"independent"
30,300,"independent"
28,301,"independent"
30,302,"independent"
34,303,"independent"
28,304,"independent"
30,305,"independent"
28,306,"independent"
28,307,"independent"
32,308,"independent"
28,309,"independent"
28,310,"independent"
24,311,"independent"
32,312,"independent"
26,313,"independent"
30,314,"independent"
30,315,"independent"
28,316,"independent"
28,317,"independent"
30,318,"independent"
30,319,"independent"
28,320,"independent"
30,321,"independent"
26,322,"independent"
20,323,"independent"
28,324,"independent"
32,325,"independent"
30,326,"independent"
32,327,"independent"
30,328,"independent"
30,329,"independent"
26,330,"independent"
30,331,"independent"
26,332,"independent"
32,333,"independent"
22,334,"independent"
26,335,"independent"
24,336,"independent"
30,337,"independent"
30,338,"independent"
28,339,"independent"
26,340,"independent"
30,341,"independent"
32,342,"independent"
30,343,"independent"
34,344,"independent"
28,345,"independent"
36,346,"independent"
24,347,"independent"
30,348,"independent"
32,349,"independent"
32,350,"independent"
36,351,"independent"
26,352,"independent"
28,353,"independent"
32,354,"independent"
26,355,"independent"
24,356,"independent"
28,357,"independent"
30,358,"independent"
24,359,"independent"
30,360,"independent"
26,361,"independent"
30,362,"independent"
32,363,"independent"
26,364,"independent"
26,365,"independent"
34,366,"independent"
22,367,"independent"
28,368,"independent"
22,369,"independent"
28,370,"independent"
30,371,"independent"
26,372,"independent"
30,373,"independent"
28,374,"independent"
28,375,"independent"
36,376,"independent"
26,377,"independent"
34,378,"independent"
30,379,"independent"
28,380,"independent"
36,381,"independent"
36,382,"independent"
32,383,"independent"
28,384,"independent"
28,385,"independent"
26,386,"independent"
32,387,"independent"
30,388,"independent"
36,389,"independent"
32,390,"independent"
28,391,"independent"
24,392,"independent"
24,393,"independent"
32,394,"independent"
32,395,"independent"
30,396,"independent"
30,397,"independent"
30,398,"independent"
26,399,"independent"
26,400,"independent"
32,401,"independent"
32,402,"independent"
22,403,"independent"
30,404,"independent"
30,405,"independent"
22,406,"independent"
30,407,"independent"
28,408,"independent"
28,409,"independent"
28,410,"independent"
30,411,"independent"
26,412,"independent"
30,413,"independent"
32,414,"independent"
28,415,"independent"
22,416,"independent"
30,417,"independent"
28,418,"independent"
28,419,"independent"
26,420,"independent"
28,421,"independent"
26,422,"independent"
28,423,"independent"
22,424,"independent"
20,425,"independent"
36,426,"independent"
30,427,"independent"
30,428,"independent"
26,429,"independent"
