# BEAST v10.5.0
# Generated Wed Apr 22 16:43:40 BST 2026 [seed=1776872618497]
# run_sites1000_seed1.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-12749.1398610938	-1545.7192442714825	-11203.420616822317	181.0082515599635	781.8910187703912	2.0	1.0	1.0	-11203.420616822317	0.0	-1543.6807693045434
1000	-9079.183964259804	-122.38082363277796	-8956.803140627026	176.78947224281703	670.1471112107274	0.051449018380663424	1.0	1.0	-8956.803140627026	0.0	-120.52616402576572
2000	-7510.018673324619	-121.5147752651013	-7388.503898059518	173.59704830264607	657.9704647986849	0.0467289171676475	1.0	1.0	-7388.503898059518	0.0	-119.5846180929205
3000	-6990.228890265508	-120.82454031156796	-6869.40434995394	173.95469931036695	631.2588334871447	0.05688638154561106	1.0	1.0	-6869.40434995394	0.0	-119.04431074845462
4000	-6625.708427303267	-120.04072710204407	-6505.667700201223	175.67206954750645	625.2778658458096	0.04472961369271164	1.0	1.0	-6505.667700201223	0.0	-118.07490283187559
5000	-5939.326437714882	-118.34660176831235	-5820.979835946569	174.46694722147794	591.1772092561915	0.05284790177179545	1.0	1.0	-5820.979835946569	0.0	-116.51225588631812
6000	-5634.304738091068	-117.96009999034058	-5516.344638100728	173.2284448733976	578.7869070716341	0.0587446844477994	1.0	1.0	-5516.344638100728	0.0	-116.20273783696955
7000	-5488.283064503545	-118.04142129625609	-5370.241643207289	166.27682609192948	562.2210116310212	0.03924773636917485	1.0	1.0	-5370.241643207289	0.0	-115.96388579335793
8000	-5382.384674274377	-121.63984652415913	-5260.744827750218	169.04682326809214	581.6249602926413	0.08140575535227577	1.0	1.0	-5260.744827750218	0.0	-120.08858903745062
9000	-5035.964111206801	-117.69067579452292	-4918.273435412279	166.08698519083174	565.455471917868	0.042066415494317604	1.0	1.0	-4918.273435412279	0.0	-115.67334688817992
10000	-4941.891343255562	-118.33464440007886	-4823.556698855483	175.27931974757558	566.5774159180877	0.03863920282002014	1.0	1.0	-4823.556698855483	0.0	-116.24324881017446
11000	-4848.974002169848	-115.93370089990391	-4733.040301269944	166.22572466510113	544.3589315038885	0.05080061701343791	1.0	1.0	-4733.040301269944	0.0	-114.06932617476505
12000	-4761.765968074572	-117.71271082315285	-4644.053257251419	180.36721652582958	552.9293200755159	0.03907659932525039	1.0	1.0	-4644.053257251419	0.0	-115.63131023838866
13000	-4759.969592949381	-117.0133528262441	-4642.956240123137	181.28721767686636	555.404253421169	0.04389707174435176	1.0	1.0	-4642.956240123137	0.0	-115.03194261519604
14000	-4740.122546754172	-115.4485609928755	-4624.6739857612965	178.11461343941292	527.1654763510857	0.0678130478622551	1.0	1.0	-4624.6739857612965	0.0	-113.78771670907733
15000	-4717.290243979429	-114.74541452419042	-4602.544829455239	184.6315231234402	523.5932098321728	0.05994162586335965	1.0	1.0	-4602.544829455239	0.0	-113.00216697416121
16000	-4648.249106359986	-115.14068000610222	-4533.108426353884	183.9496819265671	518.4727467154573	0.07090126133152203	1.0	1.0	-4533.108426353884	0.0	-113.50791631221735
17000	-4382.214865583342	-116.1834403701818	-4266.03142521316	181.4661504751191	516.1099695040773	0.08059123928381193	1.0	1.0	-4266.03142521316	0.0	-114.62653659372899
18000	-4119.264508167277	-114.79177993389962	-4004.4727282333774	179.4406707053194	516.9125405540151	0.0682862596399194	1.0	1.0	-4004.4727282333774	0.0	-113.13537852275955
19000	-4092.0777773458694	-114.63163091405168	-3977.446146431818	180.5689239884606	511.8031366435675	0.07051180447971787	1.0	1.0	-3977.446146431818	0.0	-112.99544187191715
20000	-4081.693619226628	-115.23247973286162	-3966.4611394937665	184.49619650174358	532.8120252443881	0.057506384135541336	1.0	1.0	-3966.4611394937665	0.0	-113.46001295377683
21000	-4079.2402239050552	-115.72931380281138	-3963.510910102244	184.2182994797933	524.8982704956878	0.0721034354630504	1.0	1.0	-3963.510910102244	0.0	-114.10692260132403
