"RF","tree_id","dataset"
26,1,"independent"
24,2,"independent"
28,3,"independent"
22,4,"independent"
28,5,"independent"
24,6,"independent"
22,7,"independent"
26,8,"independent"
28,9,"independent"
28,10,"independent"
26,11,"independent"
26,12,"independent"
26,13,"independent"
26,14,"independent"
26,15,"independent"
26,16,"independent"
28,17,"independent"
26,18,"independent"
26,19,"independent"
22,20,"independent"
24,21,"independent"
28,22,"independent"
30,23,"independent"
20,24,"independent"
22,25,"independent"
22,26,"independent"
22,27,"independent"
24,28,"independent"
26,29,"independent"
24,30,"independent"
24,31,"independent"
24,32,"independent"
26,33,"independent"
24,34,"independent"
22,35,"independent"
26,36,"independent"
20,37,"independent"
24,38,"independent"
22,39,"independent"
26,40,"independent"
22,41,"independent"
28,42,"independent"
24,43,"independent"
22,44,"independent"
28,45,"independent"
26,46,"independent"
28,47,"independent"
26,48,"independent"
26,49,"independent"
26,50,"independent"
28,51,"independent"
20,52,"independent"
26,53,"independent"
26,54,"independent"
30,55,"independent"
28,56,"independent"
28,57,"independent"
26,58,"independent"
28,59,"independent"
20,60,"independent"
24,61,"independent"
22,62,"independent"
26,63,"independent"
26,64,"independent"
28,65,"independent"
24,66,"independent"
22,67,"independent"
28,68,"independent"
30,69,"independent"
26,70,"independent"
20,71,"independent"
22,72,"independent"
28,73,"independent"
26,74,"independent"
26,75,"independent"
22,76,"independent"
24,77,"independent"
22,78,"independent"
22,79,"independent"
26,80,"independent"
26,81,"independent"
22,82,"independent"
24,83,"independent"
26,84,"independent"
28,85,"independent"
22,86,"independent"
28,87,"independent"
28,88,"independent"
24,89,"independent"
20,90,"independent"
24,91,"independent"
30,92,"independent"
26,93,"independent"
26,94,"independent"
22,95,"independent"
28,96,"independent"
24,97,"independent"
26,98,"independent"
26,99,"independent"
24,100,"independent"
28,101,"independent"
22,102,"independent"
24,103,"independent"
28,104,"independent"
28,105,"independent"
26,106,"independent"
28,107,"independent"
26,108,"independent"
30,109,"independent"
26,110,"independent"
24,111,"independent"
22,112,"independent"
20,113,"independent"
24,114,"independent"
26,115,"independent"
24,116,"independent"
24,117,"independent"
28,118,"independent"
26,119,"independent"
28,120,"independent"
24,121,"independent"
26,122,"independent"
24,123,"independent"
24,124,"independent"
26,125,"independent"
26,126,"independent"
24,127,"independent"
26,128,"independent"
30,129,"independent"
24,130,"independent"
24,131,"independent"
28,132,"independent"
28,133,"independent"
26,134,"independent"
30,135,"independent"
22,136,"independent"
22,137,"independent"
28,138,"independent"
22,139,"independent"
28,140,"independent"
26,141,"independent"
26,142,"independent"
22,143,"independent"
28,144,"independent"
20,145,"independent"
30,146,"independent"
24,147,"independent"
26,148,"independent"
24,149,"independent"
24,150,"independent"
28,151,"independent"
26,152,"independent"
28,153,"independent"
26,154,"independent"
30,155,"independent"
30,156,"independent"
20,157,"independent"
26,158,"independent"
26,159,"independent"
28,160,"independent"
22,161,"independent"
26,162,"independent"
24,163,"independent"
24,164,"independent"
28,165,"independent"
24,166,"independent"
22,167,"independent"
26,168,"independent"
22,169,"independent"
28,170,"independent"
28,171,"independent"
22,172,"independent"
22,173,"independent"
26,174,"independent"
