"RF","tree_id","dataset"
6,1,"independent"
10,2,"independent"
4,3,"independent"
10,4,"independent"
10,5,"independent"
10,6,"independent"
6,7,"independent"
8,8,"independent"
8,9,"independent"
10,10,"independent"
8,11,"independent"
8,12,"independent"
8,13,"independent"
6,14,"independent"
10,15,"independent"
6,16,"independent"
6,17,"independent"
8,18,"independent"
6,19,"independent"
10,20,"independent"
4,21,"independent"
12,22,"independent"
6,23,"independent"
8,24,"independent"
6,25,"independent"
10,26,"independent"
12,27,"independent"
12,28,"independent"
6,29,"independent"
8,30,"independent"
8,31,"independent"
8,32,"independent"
6,33,"independent"
8,34,"independent"
6,35,"independent"
4,36,"independent"
6,37,"independent"
10,38,"independent"
6,39,"independent"
10,40,"independent"
8,41,"independent"
10,42,"independent"
10,43,"independent"
6,44,"independent"
12,45,"independent"
10,46,"independent"
6,47,"independent"
8,48,"independent"
2,49,"independent"
8,50,"independent"
6,51,"independent"
10,52,"independent"
6,53,"independent"
10,54,"independent"
10,55,"independent"
8,56,"independent"
10,57,"independent"
8,58,"independent"
10,59,"independent"
8,60,"independent"
8,61,"independent"
10,62,"independent"
6,63,"independent"
12,64,"independent"
6,65,"independent"
8,66,"independent"
8,67,"independent"
6,68,"independent"
6,69,"independent"
8,70,"independent"
10,71,"independent"
8,72,"independent"
8,73,"independent"
8,74,"independent"
6,75,"independent"
8,76,"independent"
10,77,"independent"
10,78,"independent"
10,79,"independent"
8,80,"independent"
8,81,"independent"
8,82,"independent"
10,83,"independent"
12,84,"independent"
12,85,"independent"
8,86,"independent"
10,87,"independent"
6,88,"independent"
8,89,"independent"
12,90,"independent"
4,91,"independent"
8,92,"independent"
12,93,"independent"
4,94,"independent"
6,95,"independent"
6,96,"independent"
8,97,"independent"
8,98,"independent"
8,99,"independent"
8,100,"independent"
10,101,"independent"
8,102,"independent"
8,103,"independent"
6,104,"independent"
8,105,"independent"
8,106,"independent"
12,107,"independent"
8,108,"independent"
10,109,"independent"
8,110,"independent"
10,111,"independent"
8,112,"independent"
10,113,"independent"
